sqft_m2,price,discount,link,rooms,address,date
145.0,790.0,0,http://idealista.com/inmueble/36673689/,3,"calle Vuelta del Castillo, 15, Iturrama, Pamplona/Iruña",2017-10-05
70.0,1000.0,0,http://idealista.com/inmueble/38159480/,2,"plaza consistorial, Casco Antiguo, Pamplona/Iruña",2017-10-05
160.0,1200.0,0,http://idealista.com/inmueble/37183785/,4,"plaza de los fueros, 1, 2º Ensanche, Pamplona/Iruña",2017-10-05
96.0,800.0,0,http://idealista.com/inmueble/37068590/,2,"avenida de Sancho El Fuerte, Iturrama, Pamplona/Iruña",2017-10-05
82.0,750.0,0,http://idealista.com/inmueble/37908299/,2,"calle pedro de aranaz, Azpilagaña, Pamplona/Iruña",2017-10-05
149.0,800.0,0,http://idealista.com/inmueble/37855565/,3,"Ático en avenida san ignacio, 1º Ensanche, Pamplona/Iruña",2017-10-05
137.0,1200.0,0,http://idealista.com/inmueble/26094100/,4,"calle Serfain Olave, Iturrama, Pamplona/Iruña",2017-10-05
80.0,800.0,0,http://idealista.com/inmueble/37994039/,2,"calle Monte Monjardín, Milagrosa, Pamplona/Iruña",2017-10-05
80.0,730.0,0,http://idealista.com/inmueble/38159173/,2,"calle de la Chapitela, 22, Casco Antiguo, Pamplona/Iruña",2017-10-05
95.0,650.0,0,http://idealista.com/inmueble/33157373/,3,"calle pedro malón de chaide, 39, Mendebaldea, Pamplona/Iruña",2017-10-05
105.0,950.0,0,http://idealista.com/inmueble/25310779/,4,"calle de Abejeras, 37, Milagrosa, Pamplona/Iruña",2017-10-05
120.0,900.0,0,http://idealista.com/inmueble/37797118/,3,"paseo García el de Nájera, 9, Iturrama, Pamplona/Iruña",2017-10-05
127.0,900.0,0,http://idealista.com/inmueble/37765121/,3,"paseo García el de Nájera, 9, Iturrama, Pamplona/Iruña",2017-10-05
115.0,850.0,0,http://idealista.com/inmueble/37758520/,3,"avenida de Pío XII, 30, Iturrama, Pamplona/Iruña",2017-10-05
65.0,475.0,0,http://idealista.com/inmueble/1760038/,2,"calle Merced, 20, Casco Antiguo, Pamplona/Iruña",2017-10-05
96.0,630.0,0,http://idealista.com/inmueble/36995358/,3,"paseo Santa Lucia, 102, Buztintxuri, Pamplona/Iruña",2017-10-05
130.0,1200.0,0,http://idealista.com/inmueble/36922946/,4,"IÑIGO ARISTA, 1, Iturrama, Pamplona/Iruña",2017-10-05
170.0,1300.0,0,http://idealista.com/inmueble/36879568/,4,"GORRITI, 32, 2º Ensanche, Pamplona/Iruña",2017-10-05
85.0,720.0,0,http://idealista.com/inmueble/36102478/,2,"COMPAÑIA, 21, Casco Antiguo, Pamplona/Iruña",2017-10-05
130.0,850.0,0,http://idealista.com/inmueble/35584389/,4,"avenida de Zaragoza, 7, 2º Ensanche, Pamplona/Iruña",2017-10-05
120.0,795.0,0,http://idealista.com/inmueble/34127761/,3,"avenida de sancho el fuerte, 67, Iturrama, Pamplona/Iruña",2017-10-05
95.0,960.0,0,http://idealista.com/inmueble/37849242/,3,"avenida de Sancho El Fuerte, Iturrama, Pamplona/Iruña",2017-10-05
120.0,900.0,0,http://idealista.com/inmueble/36797861/,3,"IÑIGO ARISTA, Iturrama, Pamplona/Iruña",2017-10-05
95.0,1100.0,0,http://idealista.com/inmueble/36473163/,3,"Ático en avenida CARLOS III EL NOBLE, 2º Ensanche, Pamplona/Iruña",2017-10-05
120.0,825.0,0,http://idealista.com/inmueble/36270566/,3,"PAULINO CABALLERO, 2º Ensanche, Pamplona/Iruña",2017-10-05
90.0,525.0,0,http://idealista.com/inmueble/38076785/,3,"Milagrosa, Pamplona/Iruña",2017-10-05
120.0,750.0,0,http://idealista.com/inmueble/38046377/,4,"2º Ensanche, Pamplona/Iruña",2017-10-05
106.0,750.0,0,http://idealista.com/inmueble/37715750/,3,"calle paulino caballero, 2º Ensanche, Pamplona/Iruña",2017-10-05
90.0,800.0,0,http://idealista.com/inmueble/35855428/,3,"avenida de Sancho El Fuerte, Iturrama, Pamplona/Iruña",2017-10-05
140.0,1000.0,0,http://idealista.com/inmueble/36405327/,4,"SANCHO RAMIREZ, 35, Iturrama, Pamplona/Iruña",2017-10-05
100.0,720.0,0,http://idealista.com/inmueble/38087916/,3,"Mendebaldea, Pamplona/Iruña",2017-10-05
70.0,690.0,0,http://idealista.com/inmueble/38016904/,2,"Milagrosa, Pamplona/Iruña",2017-10-05
125.0,1200.0,0,http://idealista.com/inmueble/35443338/,3,"calle Estella, 10, 1º Ensanche, Pamplona/Iruña",2017-10-05
60.0,525.0,0,http://idealista.com/inmueble/30942007/,1,"calle mañueta, 2, Casco Antiguo, Pamplona/Iruña",2017-10-05
110.0,825.0,0,http://idealista.com/inmueble/30346364/,3,"calle Esquíroz, 31, Iturrama, Pamplona/Iruña",2017-10-05
142.0,1400.0,0,http://idealista.com/inmueble/37911597/,6,"NAVAS DE TOLOSA, 1º Ensanche, Pamplona/Iruña",2017-10-05
142.0,1350.0,0,http://idealista.com/inmueble/37760489/,2,"calle Paulino Caballero, 1º Ensanche, Pamplona/Iruña",2017-10-05
70.0,650.0,0,http://idealista.com/inmueble/38156811/,2,"Rochapea, Pamplona/Iruña",2017-10-05
105.0,680.0,0,http://idealista.com/inmueble/37965015/,3,"Mendebaldea, Pamplona/Iruña",2017-10-05
55.0,750.0,0,http://idealista.com/inmueble/37964574/,1,"1º Ensanche, Pamplona/Iruña",2017-10-05
105.0,900.0,0,http://idealista.com/inmueble/37635165/,2,"Milagrosa, Pamplona/Iruña",2017-10-05
96.0,900.0,0,http://idealista.com/inmueble/37157726/,3,"Iturrama, Pamplona/Iruña",2017-10-05
90.0,730.0,0,http://idealista.com/inmueble/37806569/,2,"calle Abejeras, 26, Iturrama, Pamplona/Iruña",2017-10-05
90.0,750.0,0,http://idealista.com/inmueble/33159772/,3,"avenida gipuzkoa, 2, Buztintxuri, Pamplona/Iruña",2017-10-05
