id,url,longitude,latitude,found
airbnb19852683,https://www.airbnb.es/rooms/19852683,-1.9713833640822156,42.92047829457566,2017-08-14 22:50:09.506000
airbnb11968070,https://www.airbnb.es/rooms/11968070,-1.9034277792892327,42.85173827764515,2017-08-14 22:50:17.305000
airbnb936916,https://www.airbnb.es/rooms/936916,-1.8952941434256563,42.91799966207008,2017-08-14 22:50:09.505000
airbnb13984613,https://www.airbnb.es/rooms/13984613,-1.8871983241622259,42.91016682924372,2017-08-14 22:50:13.547000
airbnb4637481,https://www.airbnb.es/rooms/4637481,-1.8761580813779803,42.90909740992986,2017-08-14 22:50:21.195000
airbnb4126514,https://www.airbnb.es/rooms/4126514,-1.8663756656094175,42.86764884037133,2017-08-14 22:50:13.547000
airbnb13805763,https://www.airbnb.es/rooms/13805763,-1.8531065822742845,42.85516351605389,2017-08-14 22:50:09.505000
airbnb16623373,https://www.airbnb.es/rooms/16623373,-1.837005835434955,42.86285906260156,2017-08-14 22:50:21.196000
airbnb14183001,https://www.airbnb.es/rooms/14183001,-1.8371811857809552,42.86300751115257,2017-08-14 22:50:13.548000
airbnb2060761,https://www.airbnb.es/rooms/2060761,-1.8369299784529631,42.86473989043076,2017-08-14 22:50:21.196000
airbnb14183751,https://www.airbnb.es/rooms/14183751,-1.8371479309492325,42.8641173508007,2017-08-14 22:50:17.307000
airbnb14099702,https://www.airbnb.es/rooms/14099702,-1.8361844078687726,42.86406884247349,2017-08-14 22:50:13.547000
airbnb14183516,https://www.airbnb.es/rooms/14183516,-1.8354906584349595,42.864323819977685,2017-08-14 22:50:21.195000
airbnb19535612,https://www.airbnb.es/rooms/19535612,-1.8577885425998446,42.82758525743195,2017-08-14 22:50:09.505000
airbnb5828321,https://www.airbnb.es/rooms/5828321,-1.833849378458075,42.77506288854289,2017-08-14 22:50:09.506000
airbnb3221315,https://www.airbnb.es/rooms/3221315,-1.8352575472386268,42.77279857927201,2017-08-14 22:50:13.548000
airbnb5736044,https://www.airbnb.es/rooms/5736044,-1.8362355436350841,42.773425553273995,2017-08-14 22:50:17.307000
airbnb12528624,https://www.airbnb.es/rooms/12528624,-1.932055968080793,42.75637605281241,2017-08-14 22:50:13.548000
airbnb14182972,https://www.airbnb.es/rooms/14182972,-1.9147766415978755,42.73543571977754,2017-08-14 22:50:09.505000
airbnb6177722,https://www.airbnb.es/rooms/6177722,-1.9130953707340945,42.71901304340153,2017-08-14 22:49:35.317000
airbnb564343,https://www.airbnb.es/rooms/564343,-1.9386912556467437,42.71999566934558,2017-08-14 22:49:35.316000
airbnb981066,https://www.airbnb.es/rooms/981066,-1.9774519572931324,42.73120510897675,2017-08-14 22:50:09.505000
airbnb12185330,https://www.airbnb.es/rooms/12185330,-2.1087320128290252,42.7687621678964,2017-08-14 22:49:16.661000
airbnb10648988,https://www.airbnb.es/rooms/10648988,-2.1086360140170552,42.769324314683075,2017-08-14 22:49:16.661000
airbnb8267443,https://www.airbnb.es/rooms/8267443,-2.130353447267365,42.76480077072715,2017-08-14 22:49:16.661000
airbnb1380074,https://www.airbnb.es/rooms/1380074,-2.1351027240940583,42.69954077055093,2017-08-19 14:27:47.175000
airbnb18098402,https://www.airbnb.es/rooms/18098402,-2.104823642313602,42.7106442135995,2017-08-14 22:48:12.675000
airbnb14391589,https://www.airbnb.es/rooms/14391589,-2.1055197548937032,42.71097498185283,2017-08-14 22:48:12.676000
airbnb1335162,https://www.airbnb.es/rooms/1335162,-2.099466365671149,42.71257965281791,2017-08-14 22:49:43.395000
airbnb1023958,https://www.airbnb.es/rooms/1023958,-2.0976437741746934,42.714209833656156,2017-08-14 22:49:35.317000
airbnb18020706,https://www.airbnb.es/rooms/18020706,-2.0949496631190505,42.72544852342631,2017-08-14 22:49:43.395000
airbnb6888187,https://www.airbnb.es/rooms/6888187,-2.092352388858571,42.725930169229194,2017-08-14 22:49:47.242000
airbnb14717544,https://www.airbnb.es/rooms/14717544,-2.0722692107750924,42.71979562086934,2017-08-14 22:49:43.395000
airbnb17705675,https://www.airbnb.es/rooms/17705675,-2.0777647162839945,42.6967691759308,2017-08-14 22:49:39.493000
airbnb12369875,https://www.airbnb.es/rooms/12369875,-2.0765750826017007,42.696883020844986,2017-08-14 22:49:47.242000
airbnb1952731,https://www.airbnb.es/rooms/1952731,-2.076547353910456,42.69514866574431,2017-08-14 22:49:47.242000
airbnb8706350,https://www.airbnb.es/rooms/8706350,-2.0753869701057734,42.69539459935537,2017-08-14 22:49:47.242000
airbnb1952754,https://www.airbnb.es/rooms/1952754,-2.0747844934229787,42.69680825126794,2017-08-14 22:49:47.242000
airbnb15386139,https://www.airbnb.es/rooms/15386139,-2.0748600488746938,42.696813201950576,2017-08-14 22:49:47.241000
airbnb6626017,https://www.airbnb.es/rooms/6626017,-2.0483646590606552,42.71587875870696,2017-08-14 22:49:43.395000
airbnb14528502,https://www.airbnb.es/rooms/14528502,-1.9950756263481175,42.742265349359926,2017-08-14 22:50:17.306000
airbnb12584348,https://www.airbnb.es/rooms/12584348,-2.0016455658747563,42.7117830150079,2017-08-14 22:49:39.494000
airbnb11472525,https://www.airbnb.es/rooms/11472525,-2.016401632412083,42.726724316611026,2017-08-14 22:49:35.316000
airbnb18468303,https://www.airbnb.es/rooms/18468303,-2.0207932531117003,42.72618692783629,2017-08-14 22:49:39.493000
airbnb19672260,https://www.airbnb.es/rooms/19672260,-1.997043384762929,42.683242516186795,2017-08-14 22:49:35.317000
airbnb19638678,https://www.airbnb.es/rooms/19638678,-1.9961394540843318,42.66388661079976,2017-08-14 22:49:35.316000
airbnb15168782,https://www.airbnb.es/rooms/15168782,-1.9895035845044733,42.66101329890708,2017-08-14 22:49:43.394000
airbnb19623698,https://www.airbnb.es/rooms/19623698,-1.9910764610445042,42.65816693458943,2017-08-14 22:49:31.513000
airbnb19035824,https://www.airbnb.es/rooms/19035824,-1.9917365331633703,42.660955101392986,2017-08-14 22:49:35.315000
airbnb11001255,https://www.airbnb.es/rooms/11001255,-2.057393568052443,42.65005126266142,2017-08-14 22:49:39.494000
airbnb13826491,https://www.airbnb.es/rooms/13826491,-2.057828807231723,42.642476184268546,2017-08-14 22:49:50.911000
airbnb6929623,https://www.airbnb.es/rooms/6929623,-2.031476921704503,42.66752634345618,2017-08-14 22:49:39.493000
airbnb18164537,https://www.airbnb.es/rooms/18164537,-2.030060476218307,42.667445231467966,2017-08-14 22:49:43.395000
airbnb6956445,https://www.airbnb.es/rooms/6956445,-2.029951795095332,42.667650879542585,2017-08-14 22:49:31.513000
airbnb18184701,https://www.airbnb.es/rooms/18184701,-2.02874767918709,42.6700041276343,2017-08-14 22:49:35.316000
airbnb4155979,https://www.airbnb.es/rooms/4155979,-2.029300930839517,42.66941064562033,2017-08-14 22:49:39.494000
airbnb13968693,https://www.airbnb.es/rooms/13968693,-2.0305747096813187,42.66891748553878,2017-08-14 22:49:43.395000
airbnb13755726,https://www.airbnb.es/rooms/13755726,-2.0336759277327454,42.666011366487034,2017-08-14 22:49:35.315000
airbnb13719697,https://www.airbnb.es/rooms/13719697,-2.0337345898709107,42.665753396012065,2017-08-14 22:49:47.241000
airbnb13737389,https://www.airbnb.es/rooms/13737389,-2.0336548302492403,42.66557972456475,2017-08-14 22:49:50.911000
airbnb13872430,https://www.airbnb.es/rooms/13872430,-2.035127017601518,42.66591484104316,2017-08-14 22:49:43.395000
airbnb6210059,https://www.airbnb.es/rooms/6210059,-2.038601122807475,42.67148502939037,2017-08-14 22:49:50.911000
airbnb11684936,https://www.airbnb.es/rooms/11684936,-2.0338392862838974,42.672144537796896,2017-08-14 22:49:50.912000
airbnb18986560,https://www.airbnb.es/rooms/18986560,-2.031761741298432,42.67031206131993,2017-08-14 22:49:31.513000
airbnb10746577,https://www.airbnb.es/rooms/10746577,-2.0314261181554234,42.67091828647602,2017-08-14 22:49:31.513000
airbnb4830191,https://www.airbnb.es/rooms/4830191,-2.0316279513044457,42.67076726467481,2017-08-14 22:49:31.513000
airbnb7003433,https://www.airbnb.es/rooms/7003433,-2.0290682491852228,42.67257588553628,2017-08-14 22:49:39.493000
airbnb16818431,https://www.airbnb.es/rooms/16818431,-2.0299906955232347,42.67303292704033,2017-08-14 22:49:43.395000
airbnb4143109,https://www.airbnb.es/rooms/4143109,-2.0344218225229787,42.67545824274045,2017-08-14 22:49:31.513000
airbnb13462035,https://www.airbnb.es/rooms/13462035,-2.032745694024253,42.68038548327481,2017-08-14 22:49:50.911000
airbnb2257859,https://www.airbnb.es/rooms/2257859,-2.1427902804328616,42.64662219245288,2017-08-14 22:48:09.062000
airbnb6203606,https://www.airbnb.es/rooms/6203606,-2.0864021267558504,42.64705636207631,2017-08-14 22:49:43.395000
airbnb679074,https://www.airbnb.es/rooms/679074,-2.0924238244583324,42.587740994288474,2017-08-14 22:49:39.493000
airbnb8401792,https://www.airbnb.es/rooms/8401792,-2.0921976746667275,42.587805833916235,2017-08-14 22:49:47.242000
airbnb8402048,https://www.airbnb.es/rooms/8402048,-2.0914733431310846,42.587735344538956,2017-08-14 22:49:47.241000
airbnb16123727,https://www.airbnb.es/rooms/16123727,-2.0943142208871794,42.59119145180874,2017-08-14 22:49:43.395000
airbnb18662877,https://www.airbnb.es/rooms/18662877,-2.0486302869684465,42.60694964376753,2017-08-14 22:49:39.494000
airbnb18763374,https://www.airbnb.es/rooms/18763374,-2.0474424773522357,42.60545632478793,2017-08-14 22:49:47.241000
airbnb3351566,https://www.airbnb.es/rooms/3351566,-2.0285737362548564,42.59617944801868,2017-08-14 22:49:31.514000
airbnb5287335,https://www.airbnb.es/rooms/5287335,-2.019886164893343,42.56886009558453,2017-08-14 22:49:43.394000
airbnb3219929,https://www.airbnb.es/rooms/3219929,-1.9579203663760052,42.68695735045209,2017-08-14 22:49:43.394000
airbnb820912,https://www.airbnb.es/rooms/820912,-1.888723513077213,42.67655768278873,2017-08-14 22:49:43.394000
airbnb10323784,https://www.airbnb.es/rooms/10323784,-1.8430611674817337,42.69014427492652,2017-08-14 22:49:35.316000
airbnb10567393,https://www.airbnb.es/rooms/10567393,-1.841530323594567,42.691724332441055,2017-08-14 22:49:47.242000
airbnb16317134,https://www.airbnb.es/rooms/16317134,-1.8417437886724768,42.6249302799351,2017-08-14 22:49:31.513000
airbnb8282312,https://www.airbnb.es/rooms/8282312,-1.8465741620318277,42.556331282975684,2017-08-14 22:49:35.315000
airbnb16459586,https://www.airbnb.es/rooms/16459586,-1.8445572979979206,42.55706027996205,2017-08-14 22:49:39.494000
airbnb2232171,https://www.airbnb.es/rooms/2232171,-1.762941195796621,42.58790175531565,2017-08-14 22:49:39.493000
airbnb3447619,https://www.airbnb.es/rooms/3447619,-1.7661876966828827,42.591838153955706,2017-08-14 22:49:47.242000
airbnb3448599,https://www.airbnb.es/rooms/3448599,-1.7663121890954865,42.59116458537096,2017-08-14 22:49:47.242000
airbnb3448678,https://www.airbnb.es/rooms/3448678,-1.7648372927019997,42.59095490751911,2017-08-14 22:49:43.395000
airbnb15739400,https://www.airbnb.es/rooms/15739400,-1.7648408255863495,42.590272033342075,2017-08-14 22:49:31.512000
airbnb3448212,https://www.airbnb.es/rooms/3448212,-1.7643124667859755,42.590468153311264,2017-08-14 22:49:35.316000
airbnb16929771,https://www.airbnb.es/rooms/16929771,-1.7028437627935984,42.658379056171434,2017-08-14 02:14:50.711000
airbnb5413029,https://www.airbnb.es/rooms/5413029,-1.7018845734446972,42.65833723700299,2017-08-14 02:14:50.711000
airbnb15669155,https://www.airbnb.es/rooms/15669155,-1.6783091011241764,42.69149844731692,2017-08-14 02:14:50.711000
airbnb7796701,https://www.airbnb.es/rooms/7796701,-1.7670188907083473,42.691986303775586,2017-08-14 22:49:39.494000
airbnb19868584,https://www.airbnb.es/rooms/19868584,-1.7836496369310368,42.68041643230058,2017-08-14 22:49:35.316000
airbnb20296240,https://www.airbnb.es/rooms/20296240,-1.7836053356358061,42.680394679339656,2017-08-14 22:49:35.316000
airbnb19868300,https://www.airbnb.es/rooms/19868300,-1.7844218285196045,42.67922983802204,2017-08-14 22:49:47.242000
airbnb15358517,https://www.airbnb.es/rooms/15358517,-1.7848644814748933,42.680644503831886,2017-08-14 22:49:31.513000
